,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,
,1,10% Prime Debenture 2088,1,832.10,832.10,832.10,25.00,20802.50,839.10,-7.00 ,                                             ,,
,2,10% Sunrise Debenture 2080,1,965.00,965.00,965.00,200.00,193000.00,969.00,-4.00 ,                                             ,,
,3,10.5 % NEPAL INVESTMENT DEBENTURE 2082,2,928.20,910.10,928.20,80.00,73170.00,911.40,16.80 ,                                            ,,
,4,8.5% BOK Debenture 2086,1,741.50,741.50,741.50,25.00,18537.50,756.60,-15.10 ,                                             ,,
,5,8.5% Nepal Investment Bank Debenture 2084,1,768.00,768.00,768.00,25.00,19200.00,754.00,14.00 ,                                            ,,
,6,8.5% Sanima Debenture 2087,2,765.00,763.00,765.00,50.00,38200.00,750.00,15.00 ,                                            ,,
,7,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,30,718.90,698.40,698.40,1252.00,879669.90,712.00,-13.60 ,                                             ,,
,8,Agricultural Development Bank Limited,129,315.00,311.40,313.00,11518.00,3606102.50,313.50,-0.50 ,                                             ,,
,9,Ankhu Khola Jalvidhyut Company Ltd,107,169.00,165.00,166.50,13006.00,2160880.40,170.00,-3.50 ,                                             ,,
,10,Api Power Company Ltd.,447,209.00,202.00,203.50,70362.00,14311055.10,207.50,-4.00 ,                                             ,,
,11,Arun Kabeli Power Ltd.,228,381.00,370.00,371.00,30861.00,11510838.90,378.20,-7.20 ,                                             ,,
,12,Arun Valley Hydropower Development Co. Ltd.,182,272.00,260.00,260.10,42713.00,11252947.80,269.50,-9.40 ,                                             ,,
,13,Asha Laghubitta Bittiya Sanstha Ltd,21,920.00,900.10,907.00,795.00,719414.30,912.00,-5.00 ,                                             ,,
,14,Asian Life Insurance Co. Limited,59,438.00,434.00,434.00,4687.00,2039244.00,438.90,-4.90 ,                                             ,,
,15,Aviyan Laghubitta Bittiya Sanstha Limited,545,888.80,824.10,888.80,6990.00,6206619.00,808.00,80.80 ,                                            ,,
,16,Balephi Hydropower Limited,98,255.90,232.00,237.90,3956.00,932912.50,242.00,-4.10 ,                                             ,,
,17,Barun Hydropower Co. Ltd.,45,215.00,202.40,205.00,4477.00,921474.00,212.00,-7.00 ,                                             ,,
,18,Best Finance Company Ltd.,33,326.00,320.00,321.00,2530.00,818795.50,326.00,-5.00 ,                                             ,,
,19,Bindhyabasini Hydropower Development Company Limited,71,335.00,322.50,322.50,1845.00,602818.00,335.00,-12.50 ,                                             ,,
,20,Bottlers Nepal (Terai) Limited,2,12201.00,12054.00,12201.00,20.00,242550.00,12299.00,-98.00 ,                                             ,,
,Total Amount Rs.,"643,489,676",
,Total Quantity,"2,149,724",
,Total No of Transactions,"20,257",
